               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.027218,            0.045854,                   0,             0.89209,             0.97778,             0.97598,             0.77088,             0.02056,            0.027745,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.027901,            0.041013,                   0,             0.89705,             0.96831,             0.95995,             0.65222,            0.022118,            0.030928,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.032666,            0.043238,                   0,             0.89705,             0.96831,             0.95995,             0.65222,            0.022118,            0.030928,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.035309,            0.042281,                   0,             0.97233,                   1,             0.97478,             0.67323,            0.015649,            0.027382,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.023872,            0.038733,                   0,             0.97233,                   1,             0.97478,             0.67323,            0.015649,            0.027382,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.023057,             0.04268,                   0,             0.97233,                   1,             0.97478,             0.67323,            0.015649,            0.027382,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023739,             0.04294,                   0,             0.97218,                   1,             0.97337,             0.64696,            0.014864,            0.027051,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.022282,            0.036385,                   0,             0.97218,                   1,             0.97337,             0.64696,            0.014864,            0.027051,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020537,            0.035437,                   0,             0.97606,                   1,             0.97337,             0.79045,             0.01372,            0.026005,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.02063,            0.039651,                   0,             0.97606,                   1,             0.97337,             0.79045,             0.01372,            0.026005,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.020968,            0.039857,                   0,             0.96662,                   1,             0.97478,             0.76687,            0.015382,            0.027566,                   0,            0.003664,            0.003664,            0.003664
                 130,             0.02416,            0.044892,                   0,             0.96662,                   1,             0.97478,             0.76687,            0.015382,            0.027566,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,             0.02466,            0.040796,                   0,             0.96761,                   1,             0.97761,             0.75592,            0.016142,             0.02708,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.02623,            0.042662,                   0,             0.96761,                   1,             0.97761,             0.75592,            0.016142,             0.02708,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.025811,            0.038148,                   0,             0.96761,                   1,             0.97761,             0.75592,            0.016142,             0.02708,                   0,            0.003466,            0.003466,            0.003466
